Modelo do Carro;Ano;Marca;Tabela Fipe
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p;2012;CHEVROLET; R$ 29.216,00
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p;2011;CHEVROLET; R$ 27.386,00
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p;2010;CHEVROLET; R$ 25.200,00
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p;2009;CHEVROLET; R$ 24.585,00
Corsa Sed. Maxx 1.4 8V ECONOFLEX 4p;2012;CHEVROLET; R$ 24.548,00
Corsa Sed. Maxx 1.4 8V ECONOFLEX 4p;2011;CHEVROLET; R$ 23.949,00
Corsa Sed. Maxx 1.4 8V ECONOFLEX 4p;2010;CHEVROLET; R$ 23.364,00
Corsa Hat. Premium 1.4 8V ECONOFLEX 5p;2010;CHEVROLET; R$ 26.351,00
Corsa Hat. Premium 1.4 8V ECONOFLEX 5p;2009;CHEVROLET; R$ 24.886,00
Corsa Sed. Premium 1.4 8V ECONOFLEX 4p;2012;CHEVROLET; R$ 25.389,00
Corsa Sed. Premium 1.4 8V ECONOFLEX 4p;2011;CHEVROLET; R$ 24.769,00
Corsa Sed. Premium 1.4 8V ECONOFLEX 4p;2010;CHEVROLET; R$ 24.164,00
Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p;2012;CHEVROLET; R$ 27.498,00
Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p;2011;CHEVROLET; R$ 25.767,00
Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p;2010;CHEVROLET; R$ 23.165,00
Celta Life/ LS 1.0 MPFI 8V FlexPower 5p;2014;CHEVROLET; R$ 29.635,00
Celta Life/ LS 1.0 MPFI 8V FlexPower 5p;2013;CHEVROLET; R$ 27.003,00
Celta Life/ LS 1.0 MPFI 8V FlexPower 5p;2012;CHEVROLET; R$ 24.480,00
Classic ADVANTAGE 1.0 VHC FlexPower 4p;2014;CHEVROLET; R$ 28.326,00
Classic Life/LS 1.0 VHC FlexP. 4p;2014;CHEVROLET; R$ 28.189,00
Classic Life/LS 1.0 VHC FlexP. 4p;2013;CHEVROLET; R$ 26.597,00
Classic Life/LS 1.0 VHC FlexP. 4p;2012;CHEVROLET; R$ 24.633,00
Palio 1.0 ECONOMY Fire Flex 8V 4p;2014;FIAT; R$ 29.361,00
Palio 1.0 ECONOMY Fire Flex 8V 4p;2013;FIAT; R$ 28.156,00
Palio 1.0 ECONOMY Fire Flex 8V 4p;2012;FIAT; R$ 26.236,00
Palio 1.0 ECONOMY Fire Flex 8V 4p;2011;FIAT; R$ 24.600,00
Palio 1.0 ECONOMY Fire Flex 8V 4p;2010;FIAT; R$ 22.208,00
Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p;2013;FIAT; R$ 28.963,00
Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p;2012;FIAT; R$ 26.306,00
Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p;2011;FIAT; R$ 25.063,00
Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p;2010;FIAT; R$ 24.119,00
Siena EL 1.0 mpi Fire Flex 8V 4p;2012;FIAT; R$ 28.293,00
Siena EL 1.0 mpi Fire Flex 8V 4p;2011;FIAT; R$ 25.949,00
Siena EL 1.0 mpi Fire Flex 8V 4p;2010;FIAT; R$ 24.931,00
Siena Celebration 1.0 Fire Flex 8V 4p;2012;FIAT; R$ 26.176,00
Siena Celebration 1.0 Fire Flex 8V 4p;2011;FIAT; R$ 24.569,00
Siena Celebration 1.0 Fire Flex 8V 4p;2010;FIAT; R$ 23.522,00
Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p;2012;FIAT; R$ 28.417,00
Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p;2011;FIAT; R$ 26.211,00
Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p;2010;FIAT; R$ 25.212,00
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p;2013;FIAT; R$ 28.443,00
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p;2012;FIAT; R$ 26.437,00
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p;2011;FIAT; R$ 25.633,00
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p;2010;FIAT; R$ 22.002,00
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p;2013;FIAT; R$ 28.212,00
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p;2012;FIAT; R$ 25.933,00
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p;2011;FIAT; R$ 24.804,00
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p;2010;FIAT; R$ 23.899,00
Uno Mille WAY ECONOMY 1.0 F.Flex 4p;2013;FIAT; R$ 27.196,00
Uno Mille WAY ECONOMY 1.0 F.Flex 4p;2012;FIAT; R$ 24.939,00
Uno Mille WAY ECONOMY 1.0 F.Flex 4p;2011;FIAT; R$ 24.289,00
Uno Mille WAY ECONOMY 1.0 F.Flex 4p;2010;FIAT; R$ 21.173,00
Logan Expression Hi-Flex 1.6 8V 4p;2013;Renault; R$ 26.293,00
Logan Expression Hi-Flex 1.6 8V 4p;2012;Renault; R$ 23.527,00
Logan Expression Hi-Flex 1.6 8V 4p;2011;Renault; R$ 22.132,00
Logan Expres./Exp. UP Hi -Flex 1.0 16V 4p;2013;Renault; R$ 25.478,00
Logan Expres./Exp. UP Hi -Flex 1.0 16V 4p;2012;Renault; R$ 23.375,00
Logan Authentique Hi-Flex 1.0 16V 4p;2014;Renault; R$ 32.410,00
Logan Authentique Hi-Flex 1.0 16V 4p;2013;Renault; R$ 23.274,00
Logan Authentique Hi-Flex 1.0 16V 4p;2012;Renault; R$ 21.116,00
SANDERO Expression Hi-Flex 1.6 8V 5p;2013;Renault; R$ 29.347,00
SANDERO Expression Hi-Flex 1.6 8V 5p;2012;Renault; R$ 27.477,00
SANDERO Expression Hi-Flex 1.6 8V 5p;2011;Renault; R$ 26.138,00
SANDERO Expression Hi-Flex 1.6 8V 5p;2010;Renault; R$ 24.084,00
SANDERO Expression Hi-Flex 1.0 16V 5p;2013;Renault; R$ 28.570,00
SANDERO Expression Hi-Flex 1.0 16V 5p;2012;Renault; R$ 26.758,00
SANDERO Expression Hi-Flex 1.0 16V 5p;2011;Renault; R$ 24.487,00
SANDERO Expression Hi-Flex 1.0 16V 5p;2010;Renault; R$ 23.889,00